Play_num,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,unique_ID,event_gameID_timenum,HOMEDESCRIPTION,PLAYER1_NAME,PLAYER1_TEAM,PCTIMESTRING,PERIOD,VISITORDESCRIPTION,Score,Score_Margin,OT Game,Home_Win,time_decimals,timenum,scoremargin>10,Timeout,home_time_dummy,visitor_time_dummy,Play_after_timeout,PLAYER1_NAME,Shot Type,Makes,Base Points,Points,FT Made,PLAYER1_TEAM,Distance,Block,Steal,Defensive Player,Defensive Player Team,,,,
440,0,4,642,21800003,440-21800003,21800003-161-4,,Khris Middleton,MIL,02:41,4,Middleton REBOUND (Off:1 Def:7),108 - 104,-4,No,0,0.1118,161,No,0,0,0,,Khris Middleton,,,0,0,,MIL,,,,,,,,,
441,2,6,643,21800003,441-21800003,21800003-161-6,Williams S.FOUL (P2.T2) (L.Richardson),Marvin Williams,CHA,02:41,4,,108 - 104,-4,No,0,0.1118,161,No,0,0,0,,Marvin Williams,,,0,0,,CHA,,,,,,,,,
442,11,3,645,21800003,442-21800003,21800003-161-3,,Giannis Antetokounmpo,MIL,02:41,4,Antetokounmpo Free Throw 1 of 2 (21 PTS),109 - 104,-5,No,0,0.1118,161,No,0,0,0,,Giannis Antetokounmpo,Free Throw,,-1,-1,,MIL,19,,,,,,,,
443,0,8,647,21800003,443-21800003,21800003-161-8,SUB: Hernangomez FOR Kidd-Gilchrist,Michael Kidd-Gilchrist,CHA,02:41,4,,109 - 104,-5,No,0,0.1118,161,No,0,0,0,,Michael Kidd-Gilchrist,,,0,0,,CHA,,,,,,,,,
444,12,3,649,21800003,444-21800003,21800003-161-3,,Giannis Antetokounmpo,MIL,02:41,4,Antetokounmpo Free Throw 2 of 2 (22 PTS),110 - 104,-6,No,0,0.1118,161,No,0,0,0,,Giannis Antetokounmpo,Free Throw,,-1,-1,,MIL,19,,,,,,,,
445,1,6,650,21800003,445-21800003,21800003-152-6,,Ersan Ilyasova,MIL,02:32,4,Ilyasova P.FOUL (P5.PN) (S.Foster),110 - 104,-6,No,0,0.1056,152,No,0,0,0,,Ersan Ilyasova,,,0,0,,MIL,,,,,,,,,
446,11,3,652,21800003,446-21800003,21800003-152-3,Hernangomez Free Throw 1 of 2 (7 PTS),Willy Hernangomez,CHA,02:32,4,,110 - 105,-5,No,0,0.1056,152,No,0,0,0,,Willy Hernangomez,Free Throw,,1,1,,CHA,19,,,,,,,,
447,12,3,653,21800003,447-21800003,21800003-152-3,MISS Hernangomez Free Throw 2 of 2,Willy Hernangomez,CHA,02:32,4,,110 - 105,-5,No,0,0.1056,152,No,0,0,0,,Willy Hernangomez,Free Throw,,0,0,,CHA,19,,,,,,,,
448,0,4,654,21800003,448-21800003,21800003-148-4,Batum REBOUND (Off:1 Def:5),Nicolas Batum,CHA,02:28,4,,110 - 105,-5,No,0,0.1028,148,No,0,0,0,,Nicolas Batum,,,0,0,,CHA,,,,,,,,,
449,102,2,655,21800003,449-21800003,21800003-135-2,MISS Monk 5' Driving Floating Bank Jump Shot,Malik Monk,CHA,02:15,4,,110 - 105,-5,No,0,0.0938,135,No,0,0,0,,Malik Monk,Jump Shot,,0,0,,CHA,5,,,,,,,,
450,0,4,656,21800003,450-21800003,21800003-133-4,,Ersan Ilyasova,MIL,02:13,4,Ilyasova REBOUND (Off:1 Def:8),110 - 105,-5,No,0,0.0924,133,No,0,0,0,,Ersan Ilyasova,,,0,0,,MIL,,,,,,,,,
451,79,2,657,21800003,451-21800003,21800003-120-2,,Khris Middleton,MIL,02:00,4,MISS Middleton 25' 3PT Pullup Jump Shot,110 - 105,-5,No,0,0.0833,120,No,0,0,0,,Khris Middleton,3 PT Shot,,0,0,,MIL,25,,,,,,,,
452,0,4,658,21800003,452-21800003,21800003-118-4,Batum REBOUND (Off:1 Def:6),Nicolas Batum,CHA,01:58,4,,110 - 105,-5,No,0,0.0819,118,No,0,0,0,,Nicolas Batum,,,0,0,,CHA,,,,,,,,,
453,5,2,659,21800003,453-21800003,21800003-108-2,MISS Hernangomez 2' Layup,Willy Hernangomez,CHA,01:48,4,,110 - 105,-5,No,0,0.075,108,No,0,0,0,,Willy Hernangomez,Layup,,0,0,,CHA,2,,,,,,,,
454,0,4,660,21800003,454-21800003,21800003-106-4,Hernangomez REBOUND (Off:1 Def:3),Willy Hernangomez,CHA,01:46,4,,110 - 105,-5,No,0,0.0736,106,No,0,0,0,,Willy Hernangomez,,,0,0,,CHA,,,,,,,,,
455,97,1,661,21800003,455-21800003,21800003-106-1,Hernangomez 1' Tip Layup Shot (9 PTS),Willy Hernangomez,CHA,01:46,4,,110 - 107,-3,No,0,0.0736,106,No,0,0,0,,Willy Hernangomez,Layup,,2,2,,CHA,1,,,,,,,,
456,1,2,662,21800003,456-21800003,21800003-90-2,,Ersan Ilyasova,MIL,01:30,4,MISS Ilyasova  3PT Jump Shot,110 - 107,-3,No,0,0.0625,90,No,0,0,0,,Ersan Ilyasova,3 PT Shot,,0,0,,MIL,23,,,,,,,,
457,0,4,663,21800003,457-21800003,21800003-86-4,Williams REBOUND (Off:0 Def:8),Marvin Williams,CHA,01:26,4,,110 - 107,-3,No,0,0.0597,86,No,0,0,0,,Marvin Williams,,,0,0,,CHA,,,,,,,,,
458,79,2,664,21800003,458-21800003,21800003-77-2,MISS Walker 25' 3PT Pullup Jump Shot,Kemba Walker,CHA,01:17,4,,110 - 107,-3,No,0,0.0535,77,No,0,0,0,,Kemba Walker,3 PT Shot,,0,0,,CHA,25,,,,,,,,
459,0,4,665,21800003,459-21800003,21800003-74-4,,Khris Middleton,MIL,01:14,4,Middleton REBOUND (Off:1 Def:8),110 - 107,-3,No,0,0.0514,74,No,0,0,0,,Khris Middleton,,,0,0,,MIL,,,,,,,,,
460,2,6,666,21800003,460-21800003,21800003-60-6,Hernangomez S.FOUL (P2.T3) (L.Richardson),Willy Hernangomez,CHA,01:00,4,,110 - 107,-3,No,0,0.0417,60,No,0,0,0,,Willy Hernangomez,,,0,0,,CHA,,,,,,,,,
461,11,3,668,21800003,461-21800003,21800003-60-3,,Giannis Antetokounmpo,MIL,01:00,4,Antetokounmpo Free Throw 1 of 2 (23 PTS),111 - 107,-4,No,0,0.0417,60,No,0,0,0,,Giannis Antetokounmpo,Free Throw,,-1,-1,,MIL,19,,,,,,,,
462,12,3,669,21800003,462-21800003,21800003-60-3,,Giannis Antetokounmpo,MIL,01:00,4,MISS Antetokounmpo Free Throw 2 of 2,111 - 107,-4,No,0,0.0417,60,No,0,0,0,,Giannis Antetokounmpo,Free Throw,,0,0,,MIL,19,,,,,,,,
463,0,4,670,21800003,463-21800003,21800003-58-4,Hernangomez REBOUND (Off:1 Def:4),Willy Hernangomez,CHA,00:58,4,,111 - 107,-4,No,0,0.0403,58,No,0,0,0,,Willy Hernangomez,,,0,0,,CHA,,,,,,,,,
464,1,9,671,21800003,464-21800003,21800003-58-9,HORNETS Timeout: Regular (Full 6 Short 0),,,00:58,4,,111 - 107,-4,No,0,0.0403,58,No,1,1,0,,,,,0,0,,,,,,,,,,,
465,1,1,672,21800003,465-21800003,21800003-54-1,Monk 29' 3PT Jump Shot (18 PTS),Malik Monk,CHA,00:54,4,,111 - 110,-1,No,0,0.0375,54,No,0,0,0,3 PT Shot,Malik Monk,3 PT Shot,,3,3,,CHA,29,,,,,,,,
466,1,9,673,21800003,466-21800003,21800003-54-9,,,,00:54,4,Bucks Timeout: Regular (Reg.6 Short 0),111 - 110,-1,No,0,0.0375,54,No,1,0,1,,,,,0,0,,,,,,,,,,,
